,,,,光源 D65   /   角度   10∘,,,,,光源 A   /   角度   10∘,,,,,光源 F02   /   角度   10∘,,,,,
Nike QTX代號,QTX全名,APEX對應RGB,APEX對應HLS,L,a,b,C,H,L,a,b,C,H,L,a,b,C,H,
00A,Nike Master 00A Black EST SP09,R:39 G:40 B:43,H:345 L:16 S:5,16.28164526,-0.139671006,-2.140423332,2.144975532,266.2665191,16.11447395,-0.468979638,-2.27413458,2.32198837,258.3476244,16.08769158,-0.139546089,-2.430797955,2.434800158,266.7143974,
00J,Nike Master 00J Seafoam EST FH21,R:175 G:188 B:173,H:232 L:71 S:10,74.67823023,-6.272526362,5.788348812,8.535195893,137.2988748,74.41417436,-4.655417911,4.903599649,6.7615239,133.512758,74.53017955,-5.442510307,5.915482051,8.038273841,132.6154556,
0AJ,Nike Master 0AJ Smoke Grey EST SS20,R:105 G:110 B:113,H:323 L:43 S:4,46.15147432,-2.225744225,-1.996746322,2.990139332,221.8957248,45.78818028,-0.961697382,-2.868488448,3.025407052,251.4656151,45.53665312,-1.488667885,-2.428839419,2.848752884,238.4953154,
3LY,Nike Master 3LY Neptune Green EST FH17,R:0 G:133 B:116,H:292 L:26 S:100,49.75767097,-40.21978273,2.389668356,40.29071155,176.5997545,45.64783564,-37.59625005,-7.951488033,38.42790886,191.9418945,46.421143,-28.35869841,-0.61194531,28.36530015,181.2361795,
3NM,Nike Master 3NM Spirit Teal EST SS19,R:0 G:130 B:138,H:303 L:27 S:100,49.54298659,-34.38365241,-11.45662733,36.24210069,198.4280646,44.79005521,-37.54769979,-21.30938936,43.17313788,209.5761452,45.57790719,-24.62143705,-16.69874015,29.75000983,214.1458879,
4AU,Nike Master 4AU Polarized Biue EST SP14,R:75 G:194 B:216,H:309 L:57 S:64,74.18747242,-29.52216628,-17.84388332,34.4958327,211.1497406,69.37111045,-32.57553489,-27.3535479,42.53683176,220.0200471,70.09528477,-20.73475965,-24.01164882,31.72521926,229.1884335,
4EV,NIKE MASTER 4EV Game Royal EST SP10,R:40 G:74 B:144,H:340 L:36 S:57,34.58418048,6.245499014,-40.03091945,40.51519184,278.86762,30.71285316,-9.80657356,-44.63234789,45.69699513,257.6079408,31.28750194,5.445900914,-47.59893141,47.90945739,276.5269582,
4NB,Nike Master 4NB Royal Pulse EST SP18,R:112 G:138 B:207,H:344 L:63 S:50,59.73138299,3.408616139,-36.60350167,36.76186881,275.3201933,56.6552106,-6.893875772,-40.18212793,40.76921545,260.2647878,56.75035722,2.946118285,-43.59632098,43.69575284,273.8660118,
58L,NIKE MASTER 58L Grand Purple EST FA09,R:62 G:45 B:70,H:41 L:23 S:22,21.68368415,12.23390821,-13.48858196,18.2101717,312.2074796,22.07905082,7.616555051,-10.77433565,13.19462844,305.2571187,21.65211858,8.394456336,-14.96076725,17.15492507,299.2966951,
83F,NIKE MASTER 83F Orange Peel EST FH21,R:249 G:134 B:0,H:152 L:49 S:100,65.69738912,39.67475827,73.49216043,83.51756754,61.63759884,73.05141289,41.1245277,84.27426553,93.77301642,63.98834555,69.99872041,27.0687097,81.71189951,86.0787405,71.67150969,
6GX,Nike Master 6GX Bleached Coral EST SS22,R:255 G:177 B:175,H:122 L:84 S:100,79.08490304,28.25118997,11.42813522,30.47510475,22.02425391,83.08220442,28.14255916,19.2625236,34.10349618,34.39017321,81.24430664,21.8511953,14.43136992,26.18662203,33.44230716,
6JF,NIKE MASTER 6JF Pink Gaze EST SS19,R:255 G:136 B:148,H:114 L:77 S:100,70.83895373,48.25124822,13.81524688,50.19007872,15.97742096,77.41178722,45.42109774,27.49398379,53.09421122,31.18706731,73.77946425,36.27824103,17.10107417,40.10682623,25.23855846,
51L,Nike Master 51L Court Purple EST FH21,R:67 G:49 B:107,H:19 L:31 S:37,26.10722063,18.8296433,-30.84419615,36.13751379,301.403066,25.22989705,7.461685682,-29.48618932,30.41565574,284.2009729,25.02370147,14.38545062,-35.24361008,38.06643195,292.2039017,
7AX,Nike Master 7AX LT Lemon Twist EST FA21,R:218 G:241 B:137,H:193 L:74 S:79,90.59684813,-19.48518963,48.84987554,52.59261313,111.7460188,91.09009915,-7.63209379,44.1886251,44.84287506,99.79923562,90.80947439,-13.17159156,52.5292566,54.15545792,104.0765577,
31V,Nike Master 31V Tm Dark Green EST SP10,R:39 G:78 B:59,H:271 L:23 S:33,30.20750886,-19.06960616,8.583617479,20.91239747,155.7665214,28.75642827,-13.1527506,4.03617064,13.75810749,162.9403764,28.47928527,-13.43066699,7.042032715,15.16486203,152.3308597,
57F,Nike Master 57F Purple Chalk EST SS21,R:190 G:189 B:213,H:3 L:79 S:22,77.84903912,3.001675522,-11.54836879,11.93209444,284.5700319,77.33697003,0.878921875,-11.77339473,11.80615632,274.2693952,77.18336379,2.369602895,-13.28256753,13.49227995,280.1151229,
65M,Nike Master 65M Archaeo Pink EST FA21,R:188 G:85 B:102,H:110 L:54 S:43,49.23165628,40.93665365,8.622336817,41.83484557,11.89414472,54.72318385,39.28881342,19.86010173,44.02311325,26.81614058,50.92822385,31.00807728,10.46395067,32.72606179,18.64742306,
67P,Nike Master 67P Team Red EST SP10,R:108 G:36 B:47,H:111 L:28 S:50,25.28306827,29.74874895,8.856231356,31.03902218,16.57831942,29.63469171,32.69459831,17.04123888,36.86923625,27.52964783,24.26197258,20.46701482,6.849604303,21.58276569,18.50361752,
85S,Nike Master 85S Ember Glow EST FA15,R:235 G:77 B:89,H:115 L:61 S:80,54.68201306,58.86217375,24.99082533,63.94761019,23.00438352,63.15205872,55.37622174,41.72680071,69.33723265,36.99856433,57.4802947,44.1116712,28.48015698,52.50675078,32.84781058,
